1903	3
1904	4
1905	5
1906	6
1907	7
1908	8
1909	8
1910	9
1911	9
1912	9
1913	11
1914	12
1915	14
1916	14
1917	16
1918	18
1919	19
1920	24
1921	26
1922	28
1923	32
1924	32
1925	34
1926	36
1927	37
1928	39
1929	40
1930	40
1931	41
1932	42
1933	42
1934	45
1935	49
1936	49
1937	51
1938	52
1939	56
1940	58
1941	59
1942	65
1943	66
1944	68
1945	76
1946	77
1947	84
1948	93
1949	95
1950	99
1951	104
1952	107
1953	110
1954	113
1955	119
1956	121
1957	123
1958	128
1959	131
1960	138
1961	140
1962	141
1963	142
1964	142
1965	142
1966	142
1967	143
1968	143
1969	144
1970	144
1971	146
1972	148
1973	148
1974	148
1975	148
1976	147
1977	147
1978	146
1979	145
1980	145
1981	145
1982	145
1983	144
1984	144
1985	144
1986	143
1987	142
1988	139
1989	137
1990	137
1991	137
1992	137
1993	135
1994	134
1995	133
1996	131
1997	129
1998	129
1999	129
2000	129
2001	129
2002	127
2003	123
2004	122
2005	121
2006	121
2007	118
2008	118
2009	116
2010	115
